folder;name;rename
Hiperdex (EN);My High School Bully;My High School Bully (Hiperdex)
Hiperdex (EN);Ataerareta Skill wo Tsukatte Kasei de Isekai Bijotachi to Ichaicha shitai;I Want to Earn Money Using the Skills I’ve Been Given
Hiperdex (EN);Alt Account Trap!;Alt Account Trap! (The Blank)
MangaDex (EN);Yuusha to Yobareta Nochi ni_ Soshite Musou Otoko wa Kazoku wo Tsukuru;Yuusha to Yobareta Nochi ni Soshite Musou Otoko wa Kazoku wo Tsukuru
MangaDex (EN);Kensei no Osananajimi ga Power Harass de Ore ni Tsuraku Ataru no de, Zetsuen Shite Henkyou de ma Kenshi to Shite Denaosu Koto ni Shita;A Sword Master Childhood Friend Power Harassed Me Harshly, So I Broke Off Our Relationship And Make A Fresh Start At The Frontier As A Magic Swordsman
MangaDex (EN);Is the Only Option a Slave Merchant__ Harem_ What is that, is It Tasty_;Dorei Senshi no Isekai Taneuma Seikatsu ~Mahou mo Bujutsu mo Saikyou Dashi Harem made!_~
Hiperdex (EN);Zombie Sekai de Harem wo Tsukurou!;Let's Make a Harem in a Zombie World!
The Blank Scanlation (EN);Draw It Yourself!;Draw It Yourself! (Original)
MangaKatana (EN);I Was Dismissed from the Hero’s Party Because They Don’t Need My Training Skills, so I Strengthened My [Fief] Which I Got as a Replacement for My Retirement Money;I Was Dismissed From The Hero’s Party Because They Don’T Need My Training Skills
MangaKatana (EN);Tomodachi no Imouto ga Ore ni Dake Uzai;My Friend's Little Sister Is Only Annoying to Me
Manga District (EN);Breaking A Romantic Fantasy Villain;Breaking A Romantic Fantasy Villain (Official)
Manga District (EN);His Addictive Touch;His Addictive Touch (Official)
Manga District (EN);Resume;Resume (Official)
Manga District (EN);Family With Benefits;Family With Benefits (Official)
Manga District (EN);Herbal Bathhouse Tales;Herbal Bathhouse Tales (Official)
Manga District (EN);Wreck My Bias;Wreck My Bias (Official)
Manga District (EN);Supervisor Access;Supervisor Access (Official)
Manga District (EN);Secret Class;Secret Class (Official)
Manga District (EN);Perfect Half;Perfect Half (Official)
Manga District (EN);My Stowaway Diary;My Stowaway Diary (Official)
Manga District (EN);[MOTION] Fatal Lessons in this Pandemic (Uncensored);Fatal Lessons in this Pandemic (Uncensored)
Manga District (EN);[MOTION] People of The Dark (Uncensored);People of The Dark (Uncensored)
Manga District (EN);[MOTION] The Delinquent Girl (Uncensored);The Delinquent Girl (Uncensored)
Manga District (EN);[MOTION] What do I do now…_ (Uncensored);What do I do now…_ (Uncensored)
Manga District (EN);[MOTION] Love Factory (Uncensored);Love Factory (Uncensored)
Manga District (EN);[MOTION] Making It in a Comic Book World (Uncensored);Making It in a Comic Book World (Uncensored)
Manga District (EN);Bet Me Hard (Uncensored);Hit my balls (Uncensored)
Manga District (EN);_Ato 3-kai wa Ikeru yo ne__ Otto no Kitaku Mae, Zetsurin Gitei ni Nando mo Hametaosareru Tsuma;“Ato 3-kai wa Ikeru yo ne？“ Otto no Kitaku Mae, Zetsurin Gitei ni Nando mo Hametaosareru Tsuma
Webtoons.com (EN);Surviving the Game as a Barbarian;Surviving the Game as a Barbarian (Official)
Mangakakalot (EN);Yuusha Party wo Tsuihosareta Ore daga, Ore kara Sudattekureta you de Ureshii. ......nanode Dai Seijo, Omae ni Ottekorarete wa Komaru no daga_;Yuusha Party wo Tsuihosareta Ore daga
HentaiWebtoon (EN);The Sex Factory Manhwa Hentai;The Sex Factory
HentaiWebtoon (EN);The Lustful Nurse Manhwa Hentai;The Lustful Nurse
HentaiWebtoon (EN);The Erotic Detective Manhwa Hentai;The Erotic Detective
HentaiWebtoon (EN);My Secret Mission Manhwa Hentai;My Secret Mission
Manga18fx (EN);Secret Siblings 2;Secret Siblings 2 (The Blank)
Manga18fx (EN);The Classmate Next Door;The Classmate Next Door (The Blank)
Manga18fx (EN);Noona and her BIG little Bro;Noona and her BIG little Bro (The Blank)
Manga District (EN);Ryokan Romance;Ryokan Romance (Official)
MangaDex (EN);Tensei Coliseum_ Saijaku Skill de Saikyou no Onna-tachi o Koryaku Shite Dorei Harem Tsukurimasu;Reincarnation Colosseum
MangaK (EN);Infinite Gacha;Pick Me Up
MangaK (EN);The Witch and the Mercenary;The Witch and the Mercenary [Official]
MangaKatana (EN);Tsumiki Ogami & the Strange Everyday Life;Tsumiki Ogami's Not-So-Ordinary Life
